SAMPLE	target.train.vec	G3a	G3b	predicted.model	Brier_score
MB247	G3a	1	1.64267743215293e-268	G3a	1
MB226	G3a	1	2.96896384330331e-292	G3a	1
MB170	G3a	1	7.64972518184769e-286	G3a	1
MB260	G3a	1	8.30600148019226e-289	G3a	1
MB095	G3a	1	2.56791347452946e-253	G3a	1
MB248	G3a	1	9.01248656127099e-294	G3a	1
MB106	G3a	1	3.56331282135229e-293	G3a	1
MB278	G3b	1.7523023809458e-295	1	G3b	1
MB288	G3b	1.39364479260042e-250	1	G3b	1
MB166	G3b	5.3427042170188e-296	1	G3b	1
MB271	G3b	6.07963915085474e-276	1	G3b	1
MB277	G3b	6.29677739505465e-294	1	G3b	1
MB164	G3b	7.15472749962218e-277	1	G3b	1
