SAMPLE	target.train.vec	SHHa	SHHb	predicted.model	Brier_score
MB234	SHHa	1	4.93137428236623e-246	SHHa	1
MB102	SHHa	1	3.0166971508131e-226	SHHa	1
MB104	SHHa	1	2.70259297285579e-245	SHHa	1
MB244	SHHa	1	1.24635771994386e-249	SHHa	1
MB275	SHHa	1	1.62977043829621e-228	SHHa	1
MB274	SHHa	1	5.02113265540755e-236	SHHa	1
MB268	SHHa	1	2.77416879466068e-233	SHHa	1
MB284	SHHa	1	8.06681540711772e-203	SHHa	1
MB239	SHHa	1	2.44357169705546e-246	SHHa	1
MB266	SHHb	2.67384682979359e-236	1	SHHb	1
MB136	SHHb	1.53526797374906e-185	1	SHHb	1
MB287	SHHb	4.88036279484624e-241	1	SHHb	1
